"","x"
"1188","CREB3L2"
"1189","RNA5SP355"
"1190","POLR1F"
"1191","SETD5"
"1192","SEC24A"
"1193","SF3B4"
"1194","KRT18"
"1195","NEDD9"
"1196","TSPAN17"
"1197","METAP1"
"1198","RNF26"
"1199","RAB10"
"1200","RRN3"
"1201","NPM1"
"1202","SRP9"
"1203","ADH4"
"1204","DVL3"
"1205","CCND1"
"1206","SEC62"
"1207","MLEC"
"1208","UNC119B"
"1209","ACADS"
"1210","CD2AP"
"1211","SPPL3"
"1212","ARHGAP35"
"1213","KMT2D"
"1214","KMT2D"
"1215","NCBP2AS2"
"1216","RYBP"
"1217","CCDC9"
"1218","SH2B1"
"1219",""
"1220","SHCBP1"
"1221","DNAJA2"
"1222","U2AF2"
"1223","MAP3K10"
"1224","ZFYVE9"
"1225","P4HA2"
"1226","SNAP47"
"1227","CCDC47"
"1228","PNRC1"
"1229","CAPZA2"
"1230","DCBLD2"
"1231","MDM2"
"1232","TNFAIP3"
"1233","ARSI"
"1234","PPP2R1A"
"1235",""
"1236","TMC6"
"1237","CYTH3"
"1238","FAM53C"
"1239","EGR1"
"1240","ZKSCAN1"
"1241","UNC13D"
"1242","PPP1R15A"
"1243","PPP1R15A"
"1244","CTC1"
"1245","RAB35"
"1246","GCN1"
"1247","DGKZ"
"1248","EFHD2"
"1249","TCF3"
"1250","VAT1"
"1251","UBE3C"
"1252","AP2A1"
"1253","ISOC1"
"1254","FABP5P3"
"1255","CDCA5"
"1256","CDCA5"
"1257",""
"1258",""
"1259","STC2"
"1260","IER5"
"1261","IMMT"
"1262","SSU72"
"1263","CLK1"
"1264","CAB39"
"1265","DENND5B"
"1266","DCP2"
"1267","CEBPA"
"1268","TSC2"
"1269","EIF2AK1"
"1270","DYRK3"
"1271","STMP1"
"1272","CFLAR"
"1273","CFLAR"
"1274","RPRD2"
"1275","MTPN"
"1276","RBMS1"
"1277","KLHDC10"
"1278","KLHDC10"
"1279","NECTIN1"
"1280","BCAM"
"1281","SELENOI"
"1282","POLR2E"
"1283","GPX4"
"1284","PTPRS"
"1285","PTOV1"
"1286","ATF1"
"1287",""
"1288","FRMD8"
"1289","CCDC88A"
"1290","RELA"
"1291","RCC1"
"1292","ADPRS"
"1293","STT3B"
"1294","MAP7D1"
"1295","C11orf24"
"1296","HNRNPL"
